step,step_divided,persistent_count,persistent_ratio
133,8.866666666666667,490,0.95703125
134,8.933333333333334,490,0.95703125
135,9.0,490,0.95703125
136,9.066666666666666,490,0.95703125
137,9.133333333333333,490,0.95703125
138,9.2,490,0.95703125
139,9.266666666666667,489,0.955078125
140,9.333333333333334,489,0.955078125
141,9.4,489,0.955078125
142,9.466666666666667,488,0.953125
143,9.533333333333333,488,0.953125
144,9.6,488,0.953125
145,9.666666666666666,488,0.953125
146,9.733333333333333,487,0.951171875
147,9.8,487,0.951171875
148,9.866666666666667,487,0.951171875
149,9.933333333333334,486,0.94921875
150,10.0,485,0.947265625
151,10.066666666666666,485,0.947265625
152,10.133333333333333,484,0.9453125
153,10.2,484,0.9453125
154,10.266666666666667,484,0.9453125
155,10.333333333333334,484,0.9453125
156,10.4,484,0.9453125
157,10.466666666666667,484,0.9453125
158,10.533333333333333,484,0.9453125
159,10.6,483,0.943359375
160,10.666666666666666,483,0.943359375
161,10.733333333333333,483,0.943359375
162,10.8,483,0.943359375
163,10.866666666666667,483,0.943359375
164,10.933333333333334,483,0.943359375
165,11.0,483,0.943359375
166,11.066666666666666,483,0.943359375
167,11.133333333333333,483,0.943359375
168,11.2,483,0.943359375
169,11.266666666666667,483,0.943359375
170,11.333333333333334,483,0.943359375
171,11.4,483,0.943359375
172,11.466666666666667,483,0.943359375
173,11.533333333333333,483,0.943359375
174,11.6,483,0.943359375
175,11.666666666666666,483,0.943359375
176,11.733333333333333,483,0.943359375
177,11.8,483,0.943359375
178,11.866666666666667,483,0.943359375
179,11.933333333333334,483,0.943359375
180,12.0,483,0.943359375
181,12.066666666666666,483,0.943359375
182,12.133333333333333,482,0.94140625
183,12.2,482,0.94140625
184,12.266666666666667,482,0.94140625
185,12.333333333333334,482,0.94140625
186,12.4,482,0.94140625
187,12.466666666666667,482,0.94140625
188,12.533333333333333,482,0.94140625
189,12.6,482,0.94140625
190,12.666666666666666,482,0.94140625
191,12.733333333333333,482,0.94140625
