seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
290,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
291,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
293,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
294,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
295,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
296,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
297,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
299,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
300,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
301,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
302,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
305,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
306,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
308,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
310,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
311,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
312,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
314,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
315,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
316,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
317,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
318,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
319,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
322,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
326,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
327,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
328,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
329,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
332,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
333,1201,1091,0.9084096586178185,1,0,1090,1,1091,0,19,1,1075,0
334,1201,1142,0.9508742714404663,1,0,1141,1,1142,0,21,1,1075,0
336,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
337,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
338,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
341,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
343,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
346,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
349,1201,1092,0.9092422980849292,1,0,1091,1,1092,0,18,1,1075,0
350,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
351,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
353,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
354,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
355,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
356,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
357,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
361,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
362,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
363,1201,1131,0.9417152373022482,1,0,1130,1,1131,0,17,1,1075,0
364,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
365,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
367,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
368,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
369,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
370,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
371,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
373,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
374,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
375,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
377,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
379,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
380,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
382,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
384,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
388,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
390,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
394,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
