seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
330,1201,553,0.4604496253122398,1,0,552,1,553,0,21,0,1075,0
331,1201,798,0.6644462947543713,1,0,797,1,798,0,17,0,1075,0
332,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
333,1201,1091,0.9084096586178185,1,0,1090,1,1091,0,19,1,1075,0
334,1201,1142,0.9508742714404663,1,0,1141,1,1142,0,21,1,1075,0
335,1201,887,0.7385512073272273,1,0,886,1,887,0,15,0,1075,0
336,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
337,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
338,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
339,1201,26,0.02164862614487927,1,0,25,1,26,0,24,0,1075,0
340,1201,964,0.8026644462947544,1,0,963,1,964,0,16,0,1075,0
341,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
342,1201,329,0.2739383846794338,1,0,328,1,329,0,16,0,1075,0
343,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
344,1201,686,0.5711906744379683,1,0,1048,2,456,0,18,0,1075,0
345,1201,57,0.04746044962531224,1,0,56,1,57,0,20,0,1075,0
346,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
347,1201,216,0.17985012489592006,1,0,215,1,216,0,18,0,1075,0
348,1201,846,0.704412989175687,1,0,1037,2,61,0,19,0,1075,0
349,1201,1092,0.9092422980849292,1,0,1091,1,1092,0,18,1,1075,0
350,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
351,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
352,1201,829,0.6902581182348043,1,0,828,1,829,0,17,0,1075,0
353,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
354,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
355,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
356,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
357,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
358,1201,207,0.1723563696919234,1,0,206,1,207,0,21,0,1075,0
359,1201,994,0.8276436303080766,1,0,993,1,994,0,12,0,1075,0
360,1201,798,0.6644462947543713,1,0,797,1,798,0,17,0,1075,0
361,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
362,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
363,1201,1131,0.9417152373022482,1,0,1130,1,1131,0,17,1,1075,0
364,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
365,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
366,1201,602,0.5012489592006661,1,0,601,1,602,0,25,0,1075,0
367,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
368,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
369,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
370,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
371,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
372,1201,1002,0.8343047460449625,1,0,1001,1,1002,0,19,0,1075,0
373,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
374,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
375,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
376,1201,326,0.2714404662781016,1,0,325,1,326,0,12,0,1075,0
377,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
378,1201,522,0.43463780183180684,1,0,581,3,70,0,20,0,1075,0
379,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
380,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
381,1201,300,0.2497918401332223,1,0,299,1,300,0,15,0,1075,0
382,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
383,1201,1194,0.9941715237302248,1,0,1200,1,96,1,20,0,1075,0
384,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
385,1201,488,0.4063280599500416,1,0,758,2,290,0,19,0,1075,0
386,1201,610,0.507910074937552,1,0,609,1,610,0,23,0,1075,0
387,1201,567,0.47210657785179017,1,0,566,1,567,0,16,0,1075,0
388,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
389,1201,154,0.12822647793505412,1,0,153,1,154,0,10,0,1075,0
390,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
391,1201,999,0.8318068276436303,1,0,998,1,999,0,18,0,1075,0
392,1201,221,0.18401332223147376,1,0,220,1,221,0,19,0,1075,0
393,1201,470,0.3913405495420483,1,0,469,1,470,0,16,0,1075,0
394,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
